Game,Polarity,Category,Rating,Text
Call of Duty,positive,combat,8,And here I thought Soma will be the only game this year that would make me use my brain. I was dead wrong. This game's solo campaign was better than Call of Duty has any right to be.I'll admit right away that I like the solo campaigns of this series
Call of Duty,positive,combat,10,Giving it a 10 to even out the unfavourable reviews
Call of Duty,negative,combat,0,Memory leak. Uses all 16 GB of RAM in less than a few hours play Frequent crashesVRAM being maxed out
Call of Duty,negative,combat,0,What a garbage game. Has game breaking glitches that will drive you insane when you have to reload the game over and over again. They did update the graphics slightly but everything else including the general story is almost identical. Boring as hell too. I played 2 hours of the campaign and had to shut it off because I couldn't control my yawning. This is probably the worst call of duty IWhat a garbage game. Has game breaking glitches that will drive you insane when you have to reload the game over and over again. They did update the graphics slightly but everything else including the general story is almost identical. Boring as hell too. I played 2 hours of the campaign and had to shut it off because I couldn't control my yawning. This is probably the worst call of duty I have played to date.
Call of Duty,positive,combat,9,The best Call of Duty since Modern Warfare 2. Maps in MP are based on Walking not on Boosting so much so this feels kinda old-school. Treyarch absolutely made a full packed and good Call of Duty. The two Campaign's
Devil may Cry,positive,action,10,What can i say: just freaking awesome game  after 8 hours i finally finished and it was worth every minute spent on it. Pros 1. PC Port 10/10 there are no camera problems
Devil may Cry,positive,action,10,Wonderful action game. Really makes an impression on me every time i play it.
Overwatch,negative,gameplay,0,Overhyped
Overwatch,neutral,gameplay,1,Bastion's tank form is cute. Overwatch more like Overhype
Devil may Cry,positive,action,10,Oh they changed his hair grow up fanboys! Seriously
Devil may Cry,negative,action,0,I have to say that I am very disappointed. Despite the decent game play
Devil may Cry,negative,action,0,worst game i have ever played  devil may cry 1  
Call of Duty,neutral,combat,4,"----------------------------------------------------------------Taylor -- "" Imagine yourself in a frozen forest . ""Me -- ""You don't say mate! ""----------------------------------------------------------------Seriously "
Call of Duty,positive,combat,8,Having spent thousands of hours of my life on Multiplayer in various Call of Duty games (and other shooters) this is by far the best combat game
Call of Duty,positive,combat,9,Black Ops are the only CoD's we play these days due to being the only one with dedicated servers and graphics options you just come to expect on PC e.g. 120fov and not 65fov on MW3 lol. Hundreds of hours in previous Black Ops and currently 110hours BO3 so far which is pretty decent for a very casual gamer these days :DIt's just a fun game to play
Overwatch,positive,gameplay,10,Overwatch is a Objective/Hero based FPS game created by Blizzard Entertainment that takes an approach to the heavily saturated genre of FPS in a similar fashion to team fortress. The look
Overwatch,positive,gameplay,0,There's a good game buried in Overwatch
Call of Duty,negative,combat,1,"I love Black Ops II and I played too much time but III so bad don't buy.CoD BO II was good game. But this? Boring with ""excelent"" optimization. And it is really ugly game"
Call of Duty,neutral,combat,6,Jako fan COD'a
Devil may Cry,neutral,action,5,Okey
Devil may Cry,neutral,action,4,The game is good but it's created 100% for consoles. 
Devil may Cry,neutral,action,5,Solid game
Devil may Cry,neutral,action,4,This one's a doozie
Devil may Cry,negative,action,4,not sure what the critics are smoking. The worst aspect of this game is the fact that it is just plain boring. DMC is and always should be fun
Devil may Cry,neutral,action,3,Horrible. ruined the game.  its far to easy
